"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"Actual.nlogo"
"grant policy"
"03/29/2024 22:40:33:631 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-75","75"
"[run number]","1","1","2","2"
"ethnic-integration_policy?","true",,"true",
"density_of_hdb_blocks","1",,"1",
"family_grant_income_level","30000",,"30000",
"eip_others","0.1",,"0.1",
"prob_of_first_timer","0.5",,"0.5",
"eip_chinese","1",,"1",
"prob_seller_selling","0.01",,"0.01",
"inflation","0.5",,"0.5",
"income_growth","0.5",,"0.5",
"government_policy?","true",,"false",
"number_of_hdb_units","60",,"60",
"eip_malay","0.2",,"0.2",
"number_of_buyers","100",,"100",
"paint-hdb-as","selling",,"selling",
"eip_indian","0.12",,"0.12",
"[reporter]","[step]","total_houses_sold_average","[step]","total_houses_sold_average"
"[final]","50","2.958463685027624E8","50","2.971176944490938E8"
"[min]","0","0","0","0"
"[max]","50","2.958463685027624E8","50","2.971176944490938E8"
"[mean]","25","3.941010724925121E7","25","4.009020872134688E7"
"[total steps]","50","50","50","50"

"[all run data]","[step]","total_houses_sold_average","[step]","total_houses_sold_average"
,"0","0","0","0"
,"1","421331.7643434299","1","493020.4638515563"
,"2","410318.23732305435","2","463572.8736882224"
,"3","440261.30260552006","3","495565.2965414584"
,"4","463720.04008538026","4","519769.01332868636"
,"5","517190.31735696556","5","592812.7350721785"
,"6","552320.5774497322","6","623897.1917979864"
,"7","630130.7764460006","7","698381.3738538626"
,"8","684699.1819274962","8","747658.1885439369"
,"9","787167.6697759253","9","838494.6772913488"
,"10","850311.7430326164","10","914378.2203489096"
,"11","987236.3585823369","11","1047159.5707971813"
,"12","1091657.4273182491","12","1148927.8001651007"
,"13","1261975.3911520618","13","1320281.0197956278"
,"14","1403578.0880276693","14","1460363.1073110288"
,"15","1609892.912923419","15","1675544.9651020288"
,"16","1776728.396770449","16","1864855.414425578"
,"17","2069588.7041502448","17","2164320.945876764"
,"18","2305848.060703861","18","2411106.7098290864"
,"19","2645286.3156056018","19","2779794.1220800295"
,"20","3003853.832971946","20","3111616.241606625"
,"21","3496945.933377957","21","3639051.709723483"
,"22","3960206.950688346","22","4153410.1859050547"
,"23","4619985.280518186","23","4784186.49136368"
,"24","5291294.178094766","24","5460170.691590199"
,"25","6225174.207449687","25","6378642.225419993"
,"26","7091744.123829734","26","7361617.632305242"
,"27","8337339.025890494","27","8690266.16798786"
,"28","9484688.957553983","28","9830094.31565423"
,"29","1.1262958821032701E7","29","1.160944763410661E7"
,"30","1.2882972311969286E7","30","1.3153004331329793E7"
,"31","1.5120887843269719E7","31","1.5467456232813887E7"
,"32","1.7391655180061236E7","32","1.766445597060004E7"
,"33","2.050813051532103E7","33","2.0698397432431825E7"
,"34","2.3235660724693857E7","34","2.3662208823832516E7"
,"35","2.744030621916266E7","35","2.787312647099037E7"
,"36","3.1513132199491E7","36","3.2048881935784798E7"
,"37","3.713969460733432E7","37","3.816047295519757E7"
,"38","4.269009902335507E7","38","4.453701818378817E7"
,"39","5.0689432489910305E7","39","5.25771131089212E7"
,"40","5.787026171994413E7","40","6.0723064214795865E7"
,"41","6.911629584699884E7","41","7.205423866505796E7"
,"42","8.02941423268817E7","42","8.23764138674183E7"
,"43","9.616204673672393E7","43","9.854117882202715E7"
,"44","1.1115910060457452E8","44","1.1374617433571525E8"
,"45","1.3294794084651473E8","45","1.3448252326631323E8"
,"46","1.528843139036074E8","46","1.5581413880117005E8"
,"47","1.8468449281207275E8","47","1.8552477302075106E8"
,"48","2.1354883886065248E8","48","2.140061078527104E8"
,"49","2.5310626185952237E8","49","2.5709379506258386E8"
,"50","2.958463685027624E8","50","2.971176944490938E8"
