"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"Actual.nlogo"
"Ethnic policy"
"03/29/2024 22:58:51:627 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-75","75"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2"
"ethnic-integration_policy?","true",,,,,,"false",,,,,
"density_of_hdb_blocks","1",,,,,,"1",,,,,
"family_grant_income_level","30000",,,,,,"30000",,,,,
"eip_others","0.1",,,,,,"0.1",,,,,
"inflation","1",,,,,,"1",,,,,
"prob_of_first_timer","0.5",,,,,,"0.5",,,,,
"eip_chinese","1",,,,,,"1",,,,,
"prob_seller_selling","0.01",,,,,,"0.01",,,,,
"income_growth","1",,,,,,"1",,,,,
"government_policy?","true",,,,,,"true",,,,,
"number_of_hdb_units","60",,,,,,"60",,,,,
"eip_malay","0.2",,,,,,"0.2",,,,,
"number_of_buyers","100",,,,,,"100",,,,,
"paint-hdb-as","selling",,,,,,"selling",,,,,
"eip_indian","0.12",,,,,,"0.12",,,,,
"[reporter]","[step]","total_houses_sold_chinese_average","total_houses_sold_indian_average","total_houses_sold_malay_average","total_houses_sold_others_average","total_houses_sold_average","[step]","total_houses_sold_chinese_average","total_houses_sold_indian_average","total_houses_sold_malay_average","total_houses_sold_others_average","total_houses_sold_average"
"[final]","50","1.031942388120606E11","1.0670388048303952E11","8.86057271710012E10","9.12031306607805E10","9.737993992400197E10","50","0","0","0","0","9.831714578880144E10"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","50","1.031942388120606E11","1.0670388048303952E11","8.86057271710012E10","9.12031306607805E10","9.737993992400197E10","50","0","0","0","0","9.831714578880144E10"
"[mean]","25","8.244107660318532E9","8.017865772077678E9","7.569523283056872E9","7.426320593675489E9","7.81170491198922E9","25","0","0","0","0","7.725958273895011E9"
"[total steps]","50","50","50","50","50","50","50","50","50","50","50","50"

"[all run data]","[step]","total_houses_sold_chinese_average","total_houses_sold_indian_average","total_houses_sold_malay_average","total_houses_sold_others_average","total_houses_sold_average","[step]","total_houses_sold_chinese_average","total_houses_sold_indian_average","total_houses_sold_malay_average","total_houses_sold_others_average","total_houses_sold_average"
,"0","0","0","0","0","0","0","0","0","0","0","0"
,"1","441322.2436233914","374579.53356747155","381093.34650909627","412622.8327839114","406818.66257973074","1","0","0","0","0","377240.0683220034"
,"2","401018.62516003364","401828.06899726525","394777.4488013238","373633.1996788476","392474.49780361436","2","0","0","0","0","383615.58514236246"
,"3","477168.4371228217","521345.15983329865","510578.84353188257","458896.9165312204","491697.44498454937","3","0","0","0","0","480604.6674354629"
,"4","535560.8114651858","577940.932844704","568011.2232421435","522027.1730432479","550246.460773868","4","0","0","0","0","537446.2158205719"
,"5","684950.8439731469","716564.0716461303","714514.1569838516","711250.3794377625","706968.659950456","5","0","0","0","0","688112.1640574073"
,"6","798543.5760159096","807391.8547349935","782710.7137747089","772890.637677033","790056.4328053856","6","0","0","0","0","785864.2681435881"
,"7","932182.8790762674","1060411.372702557","1005126.3576569469","1003211.5653520852","1000526.4911679018","7","0","0","0","0","1012164.4729186962"
,"8","1082099.6633822825","1236398.3804819998","1146851.8989247468","1202331.9422927413","1168334.9128537674","8","0","0","0","0","1184273.3159628946"
,"9","1526192.4999265885","1711946.5521534088","1434884.3492972904","1528630.031118878","1551992.492721461","9","0","0","0","0","1556407.7998342714"
,"10","1886507.4112916335","1894341.1281071114","1844869.3000475566","1774024.2998803137","1848856.9071814076","10","0","0","0","0","1847599.5265024381"
,"11","2610155.8520689425","2439715.931693578","2312473.587870645","2330638.6133894385","2423684.1098356","11","0","0","0","0","2447953.036750624"
,"12","2976678.7003393206","2834898.977368774","2949997.4706676863","2842588.351012753","2900610.8102786653","12","0","0","0","0","2894735.0779892686"
,"13","3767640.820692536","3875994.9990236997","3662208.080718188","3973835.03981741","3823672.1744417665","13","0","0","0","0","3877763.3880274636"
,"14","4697468.55086843","4674917.397702442","4394006.243788282","4876424.747583318","4667800.975530376","14","0","0","0","0","4638824.585988714"
,"15","6643676.309576853","6168359.567384322","5556651.867791557","6261035.9234210085","6168160.87892874","15","0","0","0","0","6106219.470689821"
,"16","7945973.140503823","7877183.964571588","6686281.332003859","7628376.878379781","7547215.484064003","16","0","0","0","0","7408796.4703620095"
,"17","9812742.533567809","1.0676457461559655E7","9736879.632341921","1.0718362282889176E7","1.025147280494767E7","17","0","0","0","0","9852823.227338277"
,"18","1.2084603870961102E7","1.3317771005365327E7","1.2648609450596586E7","1.2871685777925422E7","1.2736939622257268E7","18","0","0","0","0","1.234871684931388E7"
,"19","1.701683831615409E7","1.7833553235028934E7","1.8579739778597165E7","1.6031457829289727E7","1.7345109448893502E7","19","0","0","0","0","1.733675897174288E7"
,"20","2.0881677217182156E7","2.2785531592702102E7","2.230797471581975E7","2.0417585462879293E7","2.158675400992058E7","20","0","0","0","0","2.09276228918072E7"
,"21","2.8176929666286644E7","2.8349979068516176E7","3.0216665143129803E7","3.0584652771816514E7","2.9352291166771248E7","21","0","0","0","0","2.8950322469637822E7"
,"22","3.400771042613301E7","3.361808349674015E7","3.9384739200730905E7","3.809669549348227E7","3.6320175449321516E7","22","0","0","0","0","3.5524171952044874E7"
,"23","4.803404118535964E7","4.4125293175543316E7","5.3544349448885545E7","4.759271561609489E7","4.831501489280109E7","23","0","0","0","0","4.842808637783671E7"
,"24","5.88486548707952E7","6.0926590597390875E7","6.247055203427602E7","5.903967202090987E7","6.0298745676554054E7","24","0","0","0","0","6.130464390533381E7"
