"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"Actual.nlogo"
"find affordabilty variables balance"
"04/14/2024 14:53:57:603 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-75","75"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12"
"inflation","0.9",,"0.9",,"0.9",,"0.9",,"1",,"1",,"1",,"1",,"1.1",,"1.1",,"1.1",,"1.1",
"income_growth","1.5",,"1.8",,"2",,"2.2",,"1.5",,"1.8",,"2",,"2.2",,"1.5",,"1.8",,"2",,"2.2",
"[reporter]","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average"
"[final]","13","510943.56828362384","13","480970.80824479804","13","510187.01984426583","13","517902.11182636843","13","544921.5252826312","13","512571.7851547141","13","528332.7378964007","13","491090.57016761845","13","548911.233222525","13","530970.6419783278","13","528047.1166577718","13","553910.7281195394"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","13","510943.56828362384","13","480970.80824479804","13","510187.01984426583","13","517902.11182636843","13","544921.5252826312","13","512571.7851547141","13","528332.7378964007","13","491090.57016761845","13","548911.233222525","13","530970.6419783278","13","528047.1166577718","13","553910.7281195394"
"[mean]","6.5","419341.9182929471","6.5","360446.2118272268","6.5","399637.6072838605","6.5","404129.8101796493","6.5","411950.1806825132","6.5","375456.9732765129","6.5","437331.12174462975","6.5","369549.53896512237","6.5","395961.5116077157","6.5","400314.31220444705","6.5","377702.3962233406","6.5","395962.2253122042"
"[total steps]","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13"

"[all run data]","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average","[step]","total_houses_sold_average"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"1","369675.3866915701","1","295277.3567975661","1","352958.3708152286","1","452199.54953783745","1","410185.1785917687","1","332718.32252898277","1","497912.0790686719","1","304486.1723020052","1","323529.38058865094","1","378708.0359421953","1","337518.8456066719","1","342501.4145647521"
,"2","388676.0533418853","2","336810.4833968599","2","384260.2004089499","2","421881.4041772837","2","414534.6970842251","2","330041.9460605911","2","448709.29750474024","2","325550.7364228665","2","356445.08993743605","2","379069.71318890114","2","331237.4787023211","2","343169.23855846265"
,"3","415417.2867136537","3","340223.94036382827","3","393417.0880593487","3","418441.4513923436","3","403424.3030232327","3","328610.4459718683","3","445816.3473053446","3","347849.1283129467","3","364564.4829787194","3","377206.79467669583","3","339400.06226950197","3","355879.69905824505"
,"4","441341.24257951794","4","351031.6618399869","4","409456.95957926166","4","407402.5840392561","4","388783.16025521944","4","335426.49270750757","4","418097.2718718001","4","374775.15552064666","4","386291.53467733157","4","387669.0830041832","4","368125.06684426666","4","390602.71483129694"
,"5","424388.9153922624","5","352367.6543550181","5","405475.6821011449","5","401116.8644311335","5","393267.51411325956","5","340041.0909377143","5","408305.4307593014","5","367857.63761043496","5","385692.2387656939","5","373625.9625850873","5","365043.1902551535","5","397070.3247033005"
,"6","426783.69210205745","6","351149.89246359793","6","408216.57065163663","6","395473.89700643515","6","393321.6487456398","6","353987.5216864538","6","403103.2798969608","6","364273.5010253066","6","391399.7619448345","6","381576.9648458192","6","369951.26692327124","6","382787.5717765003"
,"7","455202.81995177135","7","388811.10910517536","7","413106.9630806135","7","409376.1264701362","7","423516.0679180836","7","390149.81319436105","7","435839.11213763786","7","391195.1820612392","7","404987.11335054383","7","415376.933628395","7","399895.11391469464","7","417914.4072993608"
,"8","466978.61720150156","8","402295.0776451696","8","427271.8172096082","8","422136.08966371225","8","446208.47969118354","8","436475.6626586232","8","482451.2201348103","8","410041.51122308","8","449838.4469847349","8","436083.38290684146","8","423673.743813936","8","431048.6427561396"
,"9","476692.3809504168","9","416834.14414499595","9","454105.53297813796","9","428421.7734322127","9","464280.2670529224","9","461565.10617722035","9","501535.6595832801","9","421542.9183586606","9","462314.5823328967","9","458770.8761970377","9","434103.3020849791","9","463534.115002725"
,"10","492055.8284708841","10","423658.98542289395","10","469796.5217029957","10","444898.8794866449","10","475280.4080489914","10","467360.3458926668","10","510218.3483936644","10","448575.71246377646","10","475442.55682154075","10","490356.76180325367","10","445392.1799608186","10","477325.00002730294"
,"11","496886.3373994112","11","444836.9896553974","11","482164.0503993229","11","464077.4614854385","11","499096.01361532876","11","478243.76926984877","11","522772.85510785156","11","457854.7556465134","11","488315.8422457775","11","491845.83677393873","11","459648.4186479679","11","489015.72556495335"
,"12","505744.72702270356","12","461978.86214588693","12","484509.7251435336","12","474489.1495662884","12","510483.26613269956","12","489205.32363062777","12","519542.0647643528","12","468600.5643966181","12","505728.8986573352","12","503139.3833315821","12","485797.7614454137","12","498711.57210828195"
