,town,flat_type,resale_price_logged_mean,resale_price_logged_std
0,ANG MO KIO,2 ROOM,12.408827857885374,0.13473120369857242
1,ANG MO KIO,3 ROOM,12.699369351768324,0.15961172175154378
2,ANG MO KIO,4 ROOM,13.085799405829984,0.22835609034642199
3,ANG MO KIO,5 ROOM,13.41317916276545,0.19397943581505597
4,ANG MO KIO,EXECUTIVE,13.607505043567611,0.15301447376108218
5,BEDOK,2 ROOM,12.39193243641975,0.13137421874651484
6,BEDOK,3 ROOM,12.664139743839733,0.14960462729170335
7,BEDOK,4 ROOM,13.002446823583153,0.20406007155303835
8,BEDOK,5 ROOM,13.270979424240732,0.18318389419089756
9,BEDOK,EXECUTIVE,13.473536116843059,0.16744501801104117
10,BISHAN,3 ROOM,12.782669786496148,0.19718881121701914
11,BISHAN,4 ROOM,13.207661791988382,0.18449915158088587
12,BISHAN,5 ROOM,13.508022095554395,0.18223609955927317
13,BISHAN,EXECUTIVE,13.679844532372824,0.16810607461921181
14,BISHAN,MULTI GENERATION,13.663210190096747,0.1161321186376451
15,BUKIT BATOK,2 ROOM,12.729280011766436,0.062411164488161044
16,BUKIT BATOK,3 ROOM,12.61528742207179,0.15647796706414174
17,BUKIT BATOK,4 ROOM,12.968654402835355,0.2086316941683759
18,BUKIT BATOK,5 ROOM,13.276369937028125,0.2036721653341979
19,BUKIT BATOK,EXECUTIVE,13.3771167662678,0.155778783697694
20,BUKIT MERAH,1 ROOM,12.240049604342211,0.12474117390769146
21,BUKIT MERAH,2 ROOM,12.485520709441547,0.21472678379596732
22,BUKIT MERAH,3 ROOM,12.849002571022346,0.26232642241634874
23,BUKIT MERAH,4 ROOM,13.372134383262232,0.23161181704313427
24,BUKIT MERAH,5 ROOM,13.542734879875438,0.1707242963084738
25,BUKIT MERAH,EXECUTIVE,13.51197749870443,0.14724506873924698
26,BUKIT PANJANG,2 ROOM,12.473947756132485,0.13154413624497918
27,BUKIT PANJANG,3 ROOM,12.662717127563102,0.13764583018636586
28,BUKIT PANJANG,4 ROOM,12.912611750319684,0.17337785613956103
29,BUKIT PANJANG,5 ROOM,13.11585299651983,0.17982506762573885
30,BUKIT PANJANG,EXECUTIVE,13.306127951545312,0.17624027571634807
31,BUKIT TIMAH,3 ROOM,12.92664124757229,0.11794155776459746
32,BUKIT TIMAH,4 ROOM,13.316569142615743,0.1604421652605894
33,BUKIT TIMAH,5 ROOM,13.612974330862212,0.14210879297629353
34,BUKIT TIMAH,EXECUTIVE,13.766056059167031,0.17173260420029218
35,CENTRAL AREA,2 ROOM,12.517097764003971,0.1407284869972287
36,CENTRAL AREA,3 ROOM,12.943369530179416,0.13649915218124714
37,CENTRAL AREA,4 ROOM,13.458448893142467,0.31595114687352455
38,CENTRAL AREA,5 ROOM,13.74377786284748,0.2525514663215538
39,CENTRAL AREA,EXECUTIVE,13.845634598136954,0.11514149874734346
40,CHOA CHU KANG,2 ROOM,12.453126492654674,0.13286935912350206
41,CHOA CHU KANG,3 ROOM,12.671418682541393,0.16098755771975845
42,CHOA CHU KANG,4 ROOM,12.89193073350818,0.16939645076570542
43,CHOA CHU KANG,5 ROOM,13.058319187043676,0.170414752639997
44,CHOA CHU KANG,EXECUTIVE,13.257030178479914,0.14798733509928344
45,CLEMENTI,2 ROOM,12.605073907365169,0.19844133966154304
46,CLEMENTI,3 ROOM,12.767237091990955,0.19635569871118355
47,CLEMENTI,4 ROOM,13.214148892866632,0.2509783454450612
48,CLEMENTI,5 ROOM,13.478948356272936,0.20433365758935143
49,CLEMENTI,EXECUTIVE,13.616448723964627,0.1215012082634757
50,GEYLANG,2 ROOM,12.331052600011047,0.1280026528245147
51,GEYLANG,3 ROOM,12.62103625035429,0.2083653135531056
52,GEYLANG,4 ROOM,13.135135780479494,0.2615801288153436
53,GEYLANG,5 ROOM,13.400055732836499,0.21876633857433675
54,GEYLANG,EXECUTIVE,13.512222823710598,0.16738706053211103
55,HOUGANG,2 ROOM,12.571985461531966,0.19429745786107686
56,HOUGANG,3 ROOM,12.674602261646113,0.1655131625729934
57,HOUGANG,4 ROOM,12.959985613250755,0.17854466046895487
58,HOUGANG,5 ROOM,13.190388085356291,0.1870847868885077
59,HOUGANG,EXECUTIVE,13.417816039358918,0.1734051137123093
60,JURONG EAST,2 ROOM,12.452647140800899,0.11234707712336002
61,JURONG EAST,3 ROOM,12.648895239823185,0.14311926085533935
62,JURONG EAST,4 ROOM,12.943587854731952,0.15596694440345948
63,JURONG EAST,5 ROOM,13.17988468727466,0.18061973840960563
64,JURONG EAST,EXECUTIVE,13.425945984868214,0.178818156631459
65,JURONG WEST,2 ROOM,12.46147431665849,0.16186392543759912
66,JURONG WEST,3 ROOM,12.579882806253618,0.18041545510796408
67,JURONG WEST,4 ROOM,12.895123209872768,0.15689526412280783
68,JURONG WEST,5 ROOM,13.065790353985388,0.14959449333254266
69,JURONG WEST,EXECUTIVE,13.247740424345052,0.14492098259764755
70,KALLANG/WHAMPOA,2 ROOM,12.422734680593864,0.13380491610358097
71,KALLANG/WHAMPOA,3 ROOM,12.767090285284395,0.28019068439582306
72,KALLANG/WHAMPOA,4 ROOM,13.26924811147759,0.25919396959667346
